"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1436","changeUserWithoutAuthorizationFail(User) [2] model.User@63236968","","2025-10-17","passed","2025-10-17","","ChangeDataUserTests.NonAuthorizedTests","ChangeDataUserTests$NonAuthorizedTests","changeUserWithoutAuthorizationFail"
"","3986","loginUserWrongLoginFail()","","2025-10-17","passed","2025-10-17","","LoginUserTests","LoginUserTests","loginUserWrongLoginFail"
"","3774","createOrder(Order, int, boolean) [3] model.Order@5c815478, 400, false","","2025-10-17","passed","2025-10-17","","CreateOrderTests","CreateOrderTests","createOrder"
"","1505","getOrderWithoutAuth()","","2025-10-17","passed","2025-10-17","","GetOrderTests","GetOrderTests","getOrderWithoutAuth"
"","4031","changeUserSuccess(User) [3] model.User@42fe9099","","2025-10-17","passed","2025-10-17","","ChangeDataUserTests.AuthorizedTests","ChangeDataUserTests$AuthorizedTests","changeUserSuccess"
"","2427","createUserSuccess()","","2025-10-17","passed","2025-10-17","","CreateUserTests","CreateUserTests","createUserSuccess"
"","7903","getOrderWithAuth()","","2025-10-17","passed","2025-10-17","","GetOrderTests","GetOrderTests","getOrderWithAuth"
"","1502","changeUserWithoutAuthorizationFail(User) [3] model.User@628190ec","","2025-10-17","passed","2025-10-17","","ChangeDataUserTests.NonAuthorizedTests","ChangeDataUserTests$NonAuthorizedTests","changeUserWithoutAuthorizationFail"
"","3697","changeUserSuccess(User) [2] model.User@5d8edf2","","2025-10-17","passed","2025-10-17","","ChangeDataUserTests.AuthorizedTests","ChangeDataUserTests$AuthorizedTests","changeUserSuccess"
"","6683","createOrder(Order, int, boolean) [1] model.Order@75128cf, 200, true","","2025-10-17","passed","2025-10-17","","CreateOrderTests","CreateOrderTests","createOrder"
"","758","createOrderWithoutAuth()","","2025-10-17","passed","2025-10-17","","CreateOrderTests","CreateOrderTests","createOrderWithoutAuth"
"","3621","changeUserSuccess(User) [4] model.User@12dcfa6a","","2025-10-17","passed","2025-10-17","","ChangeDataUserTests.AuthorizedTests","ChangeDataUserTests$AuthorizedTests","changeUserSuccess"
"","6105","createUserWithoutEmailFail()","","2025-10-17","passed","2025-10-17","","CreateUserTests","CreateUserTests","createUserWithoutEmailFail"
"","1709","createUserAlreadyExistingFail()","","2025-10-17","passed","2025-10-17","","CreateUserTests","CreateUserTests","createUserAlreadyExistingFail"
"","3846","loginUserSuccess()","","2025-10-17","passed","2025-10-17","","LoginUserTests","LoginUserTests","loginUserSuccess"
"","3864","createOrder(Order, int, boolean) [2] model.Order@59ebe484, 500, false","","2025-10-17","passed","2025-10-17","","CreateOrderTests","CreateOrderTests","createOrder"
"","1460","changeUserWithoutAuthorizationFail(User) [4] model.User@5ab2c5d8","","2025-10-17","passed","2025-10-17","","ChangeDataUserTests.NonAuthorizedTests","ChangeDataUserTests$NonAuthorizedTests","changeUserWithoutAuthorizationFail"
"","3894","changeUserSuccess(User) [1] model.User@5784f6b9","","2025-10-17","passed","2025-10-17","","ChangeDataUserTests.AuthorizedTests","ChangeDataUserTests$AuthorizedTests","changeUserSuccess"
"","3837","loginUserWrongPasswordFail()","","2025-10-17","passed","2025-10-17","","LoginUserTests","LoginUserTests","loginUserWrongPasswordFail"
"","757","createUserWithoutPasswordFail()","","2025-10-17","passed","2025-10-17","","CreateUserTests","CreateUserTests","createUserWithoutPasswordFail"
"","1621","changeUserWithoutAuthorizationFail(User) [1] model.User@2292e793","","2025-10-17","passed","2025-10-17","","ChangeDataUserTests.NonAuthorizedTests","ChangeDataUserTests$NonAuthorizedTests","changeUserWithoutAuthorizationFail"
"","925","createUserWithoutNameFail()","","2025-10-17","passed","2025-10-17","","CreateUserTests","CreateUserTests","createUserWithoutNameFail"
